num_workers, num_bots, coor_method, percent_picked_mean, percent_picked_sd, time_wasted_mean, time_wasted_sd
4, 2, 0, 4.99441041214, 0.0, 62.0, 0.0
4, 2, 1, 4.58732219079, 0.0, 249.0, 0.0
4, 4, 0, 5.4071254504, 0.0, 0.0, 0.0
4, 4, 1, 6.64945796737, 0.0, 21.0, 0.0
4, 6, 0, 5.77595603463, 0.0, 0.0, 0.0
4, 6, 1, 6.24795607003, 0.0, 0.0, 0.0
4, 8, 0, 6.62763116494, 0.0, 0.0, 0.0
4, 8, 1, 5.43934353634, 0.0, 55.0, 0.0
4, 10, 0, 6.24836336152, 0.0, 0.0, 0.0
4, 10, 1, 5.39725438557, 0.0, 12.0, 0.0
4, 12, 0, 4.96574876778, 0.0, 173.0, 0.0
4, 12, 1, 5.83677846093, 0.0, 0.0, 0.0
4, 14, 0, 6.24407390453, 0.0, 0.0, 0.0
4, 14, 1, 6.22698710782, 0.0, 0.0, 0.0
4, 16, 0, 5.40275490668, 0.0, 0.0, 0.0
4, 16, 1, 6.65070427236, 0.0, 0.0, 0.0
4, 18, 0, 6.22191818372, 0.0, 0.0, 0.0
4, 18, 1, 5.81439835883, 0.0, 0.0, 0.0
4, 20, 0, 5.77707196075, 0.0, 17.0, 0.0
4, 20, 1, 6.20603716191, 0.0, 0.0, 0.0
8, 2, 0, 7.06142404666, 0.0, 593.0, 0.0
8, 2, 1, 7.88039150917, 0.0, 606.0, 0.0
8, 4, 0, 10.3947974399, 0.0, 161.0, 0.0
8, 4, 1, 10.4076640738, 0.0, 141.0, 0.0
8, 6, 0, 10.7748555699, 0.0, 61.0, 0.0
8, 6, 1, 12.0465051777, 0.0, 83.0, 0.0
8, 8, 0, 12.1180427152, 0.0, 10.0, 0.0
8, 8, 1, 11.6764073072, 0.0, 65.0, 0.0
8, 10, 0, 9.9152901866, 0.0, 17.0, 0.0
8, 10, 1, 12.0393892439, 0.0, 0.0, 0.0
8, 12, 0, 11.9768724925, 0.0, 43.0, 0.0
8, 12, 1, 11.6594672283, 0.0, 153.0, 0.0
8, 14, 0, 11.1977957521, 0.0, 61.0, 0.0
8, 14, 1, 10.0890145535, 0.0, 93.0, 0.0
8, 16, 0, 11.2111966975, 0.0, 144.0, 0.0
8, 16, 1, 10.8062977815, 0.0, 33.0, 0.0
8, 18, 0, 12.5160090472, 0.0, 0.0, 0.0
8, 18, 1, 11.2283423594, 0.0, 102.0, 0.0
8, 20, 0, 11.6223888391, 0.0, 19.0, 0.0
8, 20, 1, 10.7889691845, 0.0, 22.0, 0.0
12, 2, 0, 8.72748236925, 0.0, 1341.0, 0.0
12, 2, 1, 10.413576417, 0.0, 899.0, 0.0
12, 4, 0, 13.286298869, 0.0, 425.0, 0.0
12, 4, 1, 14.5200700464, 0.0, 414.0, 0.0
12, 6, 0, 16.1898091919, 0.0, 303.0, 0.0
12, 6, 1, 15.0360990922, 0.0, 211.0, 0.0
12, 8, 0, 15.451893123, 0.0, 305.0, 0.0
12, 8, 1, 17.2858894234, 0.0, 196.0, 0.0
12, 10, 0, 18.604520304, 0.0, 43.0, 0.0
12, 10, 1, 16.1834176659, 0.0, 105.0, 0.0
12, 12, 0, 16.1491158274, 0.0, 174.0, 0.0
12, 12, 1, 18.2554380751, 0.0, 99.0, 0.0
12, 14, 0, 17.4596562558, 0.0, 170.0, 0.0
12, 14, 1, 17.0265054932, 0.0, 145.0, 0.0
12, 16, 0, 15.7246795583, 0.0, 145.0, 0.0
12, 16, 1, 18.3212555162, 0.0, 14.0, 0.0
12, 18, 0, 17.4205561038, 0.0, 122.0, 0.0
12, 18, 1, 18.6609067138, 0.0, 157.0, 0.0
12, 20, 0, 17.0959085177, 0.0, 203.0, 0.0
12, 20, 1, 16.9709638904, 0.0, 79.0, 0.0
16, 2, 0, 11.6393980061, 0.0, 1905.0, 0.0
16, 2, 1, 10.3748797152, 0.0, 2216.0, 0.0
16, 4, 0, 16.5794542205, 0.0, 783.0, 0.0
16, 4, 1, 17.4775201155, 0.0, 917.0, 0.0
16, 6, 0, 19.9849634395, 0.0, 500.0, 0.0
16, 6, 1, 20.8323268869, 0.0, 303.0, 0.0
16, 8, 0, 23.5762368801, 0.0, 176.0, 0.0
16, 8, 1, 19.9751407949, 0.0, 335.0, 0.0
16, 10, 0, 22.4365564653, 0.0, 105.0, 0.0
16, 10, 1, 21.5902041365, 0.0, 327.0, 0.0
16, 12, 0, 21.6522135087, 0.0, 293.0, 0.0
16, 12, 1, 22.1243678397, 0.0, 196.0, 0.0
16, 14, 0, 21.5368218532, 0.0, 145.0, 0.0
16, 14, 1, 21.6579212567, 0.0, 257.0, 0.0
16, 16, 0, 22.9100454637, 0.0, 292.0, 0.0
16, 16, 1, 25.3394515924, 0.0, 144.0, 0.0
16, 18, 0, 23.5872889851, 0.0, 253.0, 0.0
16, 18, 1, 23.6816160888, 0.0, 138.0, 0.0
16, 20, 0, 22.7752216392, 0.0, 194.0, 0.0
16, 20, 1, 21.8704831656, 0.0, 277.0, 0.0
