parameters
------------------------------------------------------------------
num_rows: 5
row_len: 5
num_bins: 30
num_workers: 4
num_bots: 2
coord method: 1
num_timestep: 200
------------------------------------------------------------------
percentage picked, time wasted
51.8675279142, 107
45.9943385398, 175
44.3821548785, 196
54.3513548585, 153
51.99951223, 120
46.4773557155, 196
39.7358322393, 86
48.5152802592, 241
59.6440118531, 134
45.9646375774, 217
51.1473495794, 156
49.9050976032, 185
47.4526989339, 128
41.9932513713, 151
55.7021489297, 163
46.0197045438, 194
46.0044608861, 192
43.4711417747, 102
55.5962380672, 162
37.7429782566, 254
48.3549279472, 127
51.9996378355, 173
47.6494478471, 159
52.6391305642, 91
49.5803060503, 145
50.1270929618, 188
55.8263761729, 105
55.9240935773, 101
54.0202145268, 136
50.2369531863, 145
52.0999379331, 217
59.4331066893, 164
46.1413116599, 107
48.3105125464, 143
55.0229621373, 250
43.6089807572, 186
49.6919528291, 176
48.0220706268, 173
47.2381996471, 207
39.7087742937, 234
58.6469488142, 192
55.4792004069, 140
51.2510901373, 167
49.4272417532, 112
51.9866031177, 140
50.4707730442, 223
49.7045885975, 151
58.6567807, 139
51.6756632259, 106
49.9299919989, 114
44.4628229209, 230
46.0255645111, 65
49.7534376725, 213
43.6430323218, 172
41.5588472461, 80
52.25734995, 165
53.5395341081, 160
45.6871259191, 211
49.6416040077, 117
49.7436905026, 130
51.6095885977, 147
37.8847432108, 236
34.2900012461, 122
52.1944767449, 184
55.5303621686, 186
46.2931580857, 84
51.857875201, 134
49.7983156567, 184
52.4777525494, 220
48.6191758219, 74
51.9864961297, 197
57.8026662054, 119
45.8396204186, 133
52.0830145841, 172
54.4649101519, 219
47.5319344546, 166
42.237624283, 163
43.8100135235, 185
55.7267506705, 150
48.9461329132, 154
54.9329957808, 183
56.2982372425, 113
39.1674089541, 217
44.5138657982, 165
46.24766987, 175
51.1552078192, 167
51.5745475715, 122
53.7008671174, 169
39.5663491993, 188
55.7163711188, 119
60.3969520256, 144
53.9105445341, 144
49.9924575754, 157
56.3884538893, 176
41.8820582939, 193
53.9230285787, 201
46.9245188702, 125
56.200256312, 131
42.2229147872, 173
60.5470592257, 149
