parameters
------------------------------------------------------------------
num_rows: 10
row_len: 10
num_bins: 100
num_workers: 10
num_bots: 5
coord method: 0
num_timestep: 300
------------------------------------------------------------------
percentage picked, time wasted
31.450021626, 826
28.4596918448, 860
32.7543630414, 606
32.3302935344, 890
30.1315146085, 762
33.8412699122, 691
29.2043570567, 869
35.6758378097, 748
32.0842256777, 926
34.1173366572, 837
25.6903104773, 676
35.3440482528, 926
36.4795408715, 759
30.3842583929, 676
30.3040454994, 859
31.1681557046, 1235
28.2747461692, 1012
31.4440572786, 810
28.5803143778, 755
33.6502355175, 904
